%NumGrains 3
%BeamCenter -2.804648
%BeamThickness 200.000000
%GlobalPosition 100.000000
%NumPhases 1
%PhaseInfo
%	SpaceGroup:225
%	Lattice Parameter: 4.080000 4.080000 4.080000 90.000000 90.000000 90.000000
%GrainID	O11	O12	O13	O21	O22	O23	O31	O32	O33	X	Y	Z	a	b	c	alpha	beta	gamma	DiffPos	DiffOme	DiffAngle	GrainRadius	Confidence	eFab11	eFab12	eFab13	eFab21	eFab22	eFab23	eFab31	eFab32	eFab33	eKen11	eKen12	eKen13	eKen21	eKen22	eKen23	eKen31	eKen32	eKen33	RMSErrorStrain	PhaseNr	Eul0	Eul1	Eul2
61	0.974355	0.119077	-0.190931	0.045707	0.726083	0.686090	0.220328	-0.677222	0.702020	119.348138	101.016525	-6.744311	4.081629	4.080048	4.082228	89.975532	89.991229	89.985592	122.649288	0.049036	0.051951	103.497209	0.991379	616.958324	81.894841	-148.446212	81.894841	79.349230	199.907459	-148.446212	199.907459	260.833744	625.314793	3.203566	-147.629611	3.203566	58.119701	-0.105135	-147.629611	-0.105135	347.397256	673.451176	1.000000	3.412994	0.792567	2.827068
54	0.633888	0.561899	-0.531466	-0.682589	0.729547	-0.042812	0.363674	0.389911	0.845997	130.984444	100.549492	1.799190	4.081178	4.081972	4.081686	90.024728	90.000603	90.063399	126.060350	0.069695	0.064116	103.788980	1.000000	929.552044	-204.095998	-18.527717	-204.095998	197.899759	318.289759	-18.527717	318.289759	57.082573	728.452377	-234.466507	63.484202	-234.466507	361.667383	190.947234	63.484202	190.947234	164.677250	710.961969	1.000000	4.792770	0.562364	0.750596
67	0.625173	0.570633	-0.532482	-0.688172	0.724878	-0.031151	0.368208	0.385914	0.845868	113.800101	102.991112	-3.544009	4.082137	4.079115	4.084013	89.965662	89.881507	90.073627	115.820851	0.073965	0.066291	101.782671	1.000000	344.769961	-118.000092	-306.199280	-118.000092	1787.611294	-308.155362	-306.199280	-308.155362	-845.134555	174.661996	-175.987253	-140.968755	-175.987253	1496.595212	-134.084396	-140.968755	-134.084396	-381.133869	677.462700	1.000000	4.770825	0.562606	0.761924
